time,volume,open,low,high,close,t_plus,longs,shorts,entry,returns,holding,direction
2021-12-01 00:00:00,110086.8666,4630.25,4598.77,4769.07,4759.37,4759.37,0,0,0,0.0,0,0
2021-12-01 04:00:00,75598.8803,4759.37,4683.85,4778.75,4766.69,4766.69,0,0,0,0.0,0,0
2021-12-01 08:00:00,92695.8892,4766.69,4651.46,4769.51,4672.86,4672.85,0,0,0,0.0,0,0
2021-12-01 12:00:00,80999.5734,4672.85,4654.39,4761.41,4725.57,4725.58,0,0,0,0.0,0,0
2021-12-01 16:00:00,67546.8453,4725.58,4596.42,4758.0,4660.58,4659.78,0,0,0,0.0,0,0
2021-12-01 20:00:00,81270.2557,4659.78,4523.99,4661.99,4582.95,4582.95,0,0,0,0.0,0,0
2021-12-02 00:00:00,107995.0525,4582.95,4451.0,4621.35,4490.98,4491.02,0,0,0,0.0,0,0
2021-12-02 04:00:00,51505.7244,4491.02,4484.44,4584.88,4560.11,4560.11,0,0,0,0.0,0,0
2021-12-02 08:00:00,65102.8056,4560.11,4495.37,4599.42,4531.25,4531.25,0,0,0,0.0,0,0
2021-12-02 12:00:00,104548.5281,4531.25,4480.0,4634.83,4543.06,4543.05,0,0,0,0.0,0,0
2021-12-02 16:00:00,76894.4523,4543.05,4433.0,4556.01,4489.24,4488.92,0,0,0,0.0,0,0
2021-12-02 20:00:00,45815.3916,4488.92,4470.5,4558.11,4511.21,4511.35,0,0,0,0.0,0,0
2021-12-03 00:00:00,46448.7915,4511.35,4470.0,4547.56,4493.15,4493.0,0,0,0,0.0,0,0
2021-12-03 04:00:00,74205.9424,4493.0,4490.14,4592.82,4568.57,4568.56,0,0,0,0.0,0,0
2021-12-03 08:00:00,48573.6743,4568.56,4545.0,4617.67,4612.08,4612.07,0,0,0,0.0,0,0
2021-12-03 12:00:00,105691.7377,4612.07,4456.41,4654.88,4468.15,4468.14,1,0,1,0.0,0,0
2021-12-03 16:00:00,227135.2044,4468.14,4182.78,4468.74,4228.81,4228.82,0,0,0,-0.05356367526532291,0,1
2021-12-03 20:00:00,175919.5156,4228.82,4032.5,4288.11,4215.73,4215.01,0,-1,-1,0.0,0,0
2021-12-04 00:00:00,106713.6924,4215.01,4055.0,4238.59,4058.12,4058.12,0,0,0,0.037221738501213575,0,-1
2021-12-04 04:00:00,549695.2756,4058.12,3503.68,4118.35,3893.51,3893.51,0,0,0,0.0,0,0
2021-12-04 08:00:00,150103.2987,3893.51,3823.98,3982.13,3866.36,3866.35,0,0,0,0.0,0,0
2021-12-04 12:00:00,150084.1783,3866.35,3866.35,4070.0,4036.54,4036.55,0,0,0,0.0,0,0
2021-12-04 16:00:00,91941.8268,4036.55,3975.46,4135.56,4117.36,4117.37,0,0,0,0.0,0,0
2021-12-04 20:00:00,63234.8733,4117.37,4033.0,4128.56,4117.25,4117.25,0,0,0,0.0,0,0
2021-12-05 00:00:00,101434.5296,4117.25,4064.2,4179.56,4162.8,4162.81,0,0,0,0.0,0,0
2021-12-05 04:00:00,85324.5649,4162.81,4139.81,4229.63,4199.52,4199.52,0,0,0,0.0,0,0
2021-12-05 08:00:00,67144.8424,4199.52,4161.0,4221.7,4194.11,4194.11,0,0,0,0.0,0,0
2021-12-05 12:00:00,136119.5601,4194.11,4031.39,4248.19,4070.07,4070.07,0,0,0,0.0,0,0
2021-12-05 16:00:00,92350.1362,4070.07,4063.36,4178.0,4138.41,4138.42,0,0,0,0.0,0,0
2021-12-05 20:00:00,53951.8081,4138.42,4098.0,4204.27,4196.44,4196.44,0,0,0,0.0,0,0
2021-12-06 00:00:00,74989.3687,4196.44,4101.0,4202.16,4168.09,4168.09,0,0,0,0.0,0,0
2021-12-06 04:00:00,76877.9517,4168.09,4014.5,4195.78,4071.98,4071.99,0,0,0,0.0,0,0
2021-12-06 08:00:00,213165.44,4071.99,3921.0,4149.2,4044.41,4044.42,0,0,0,0.0,0,0
2021-12-06 12:00:00,126542.9904,4044.42,3983.18,4128.55,4125.41,4125.41,0,0,0,0.0,0,0
2021-12-06 16:00:00,102750.6254,4125.41,4096.38,4219.01,4194.29,4194.29,0,0,0,0.0,0,0
2021-12-06 20:00:00,132416.5876,4194.29,4183.74,4376.15,4347.59,4347.57,0,0,0,0.0,0,0
2021-12-07 00:00:00,82969.643,4347.57,4298.59,4386.91,4341.57,4341.56,1,0,1,0.0,0,0
2021-12-07 04:00:00,59460.8961,4341.56,4330.0,4385.22,4352.9,4352.91,0,0,0,0.0,0,0
2021-12-07 08:00:00,79190.4276,4352.91,4346.24,4425.0,4408.33,4408.42,0,0,0,0.0,0,0
2021-12-07 12:00:00,84010.9149,4408.42,4330.59,4417.87,4386.59,4386.59,0,0,0,0.010371847907203913,2,1
2021-12-07 16:00:00,62627.202,4386.59,4280.0,4405.0,4313.19,4313.19,0,0,0,0.0,0,0
2021-12-07 20:00:00,52490.6674,4313.19,4255.92,4329.8,4306.4,4306.4,0,0,0,0.0,0,0
2021-12-08 00:00:00,64830.3805,4306.4,4275.06,4347.64,4293.57,4293.57,0,0,0,0.0,0,0
2021-12-08 04:00:00,55724.4421,4293.57,4293.08,4379.03,4367.31,4367.32,0,0,0,0.0,0,0
2021-12-08 08:00:00,86298.4912,4367.32,4228.03,4390.0,4267.27,4267.27,0,0,0,0.0,0,0
2021-12-08 12:00:00,119098.9341,4267.27,4222.95,4450.49,4403.22,4403.22,1,0,1,0.0,0,0
2021-12-08 16:00:00,56750.2826,4403.22,4360.0,4422.0,4381.37,4381.37,0,0,0,0.0,0,0
2021-12-08 20:00:00,46701.4046,4381.37,4371.56,4442.0,4436.91,4436.91,0,0,0,0.0,0,0
2021-12-09 00:00:00,76434.042,4436.91,4350.8,4488.0,4359.41,4358.85,0,0,0,-0.00994953692979239,2,1
2021-12-09 04:00:00,46141.9921,4358.85,4339.45,4410.0,4379.22,4379.22,0,0,0,0.0,0,0
2021-12-09 08:00:00,71078.47,4379.22,4271.0,4379.22,4304.04,4304.03,0,-1,-1,0.0,0,0
2021-12-09 12:00:00,104557.4867,4304.03,4137.91,4323.6,4201.35,4201.36,0,0,0,0.023856711035935896,0,-1
2021-12-09 16:00:00,96146.0687,4201.36,4100.0,4234.63,4122.46,4122.46,0,-1,-1,0.0,0,0
